SoldTo,Customer_Value1
Customer_1288,Innovative
Customer_1288,Market Follower
Customer_1289,Faster Growing than Market
Customer_1291,Market Follower
Customer_1294,Innovative
Customer_1294,Niche Player
Customer_1295,Niche Player
Customer_1296,Innovative
Customer_1298,Innovative & Faster Growing than Market
Customer_1299,Innovative
Customer_1299,Innovative & Faster Growing than Market
Customer_1299,Niche Player
Customer_1300,Faster Growing than Market
Customer_1304,Innovative
Customer_1304,Niche Player
Customer_1305,Niche Player
Customer_1306,Faster Growing than Market
Customer_1306,Market Follower
Customer_1307,Faster Growing than Market
Customer_1308,Niche Player
Customer_131,Innovative & Faster Growing than Market
Customer_131,Market Follower
Customer_1310,Niche Player
Customer_1311,Innovative & Faster Growing than Market
Customer_1311,Niche Player
Customer_1312,Faster Growing than Market
Customer_1312,Niche Player
Customer_1313,Niche Player
Customer_1314,Innovative
Customer_1315,Innovative
Customer_1316,Niche Player
Customer_1317,Market Follower
Customer_1318,Niche Player
Customer_1320,Faster Growing than Market
Customer_1320,Innovative
Customer_1320,Innovative & Faster Growing than Market
Customer_1320,Niche Player
Customer_1322,Innovative & Faster Growing than Market
Customer_1323,Faster Growing than Market
Customer_1324,Faster Growing than Market
Customer_1326,Innovative
Customer_1326,Market Follower
Customer_1327,Innovative
Customer_1327,Niche Player
Customer_1329,Faster Growing than Market
Customer_133,Niche Player
Customer_1330,Innovative
Customer_1330,Innovative & Faster Growing than Market
Customer_1330,Niche Player
Customer_1332,Innovative
Customer_1333,Faster Growing than Market
Customer_1333,Innovative & Faster Growing than Market
Customer_1334,Market Follower
Customer_1335,Niche Player
Customer_1336,Faster Growing than Market
Customer_1336,Niche Player
Customer_1337,Faster Growing than Market
Customer_1338,Faster Growing than Market
Customer_1339,Innovative & Faster Growing than Market
Customer_1339,Market Follower
Customer_134,Faster Growing than Market
Customer_134,Market Follower
Customer_1340,Faster Growing than Market
Customer_1340,Innovative & Faster Growing than Market
Customer_1341,Innovative
Customer_1342,Faster Growing than Market
Customer_1343,Faster Growing than Market
Customer_1343,Niche Player
Customer_1344,Innovative
Customer_1346,Innovative
Customer_1347,Market Follower
Customer_1347,Niche Player
Customer_1348,Niche Player
Customer_135,Faster Growing than Market
Customer_1350,Innovative & Faster Growing than Market
Customer_1351,Niche Player
Customer_1352,Faster Growing than Market
Customer_1352,Niche Player
Customer_1354,Innovative & Faster Growing than Market
Customer_1355,Faster Growing than Market
Customer_1357,Faster Growing than Market
Customer_1357,Innovative
Customer_1357,Innovative & Faster Growing than Market
Customer_1358,Faster Growing than Market
Customer_1359,Market Follower
Customer_1361,Market Follower
Customer_1362,Innovative
Customer_1365,Innovative
Customer_1367,Faster Growing than Market
Customer_1369,Innovative & Faster Growing than Market
Customer_137,Innovative & Faster Growing than Market
Customer_1371,Market Follower
Customer_1372,Faster Growing than Market
Customer_1373,Faster Growing than Market
Customer_1373,Innovative & Faster Growing than Market
Customer_1376,Innovative & Faster Growing than Market
Customer_1377,Faster Growing than Market
Customer_1378,Innovative
Customer_138,Faster Growing than Market
Customer_138,Innovative
Customer_1380,Innovative & Faster Growing than Market
