soldto,c_relationship
Customer_1427,Advanced Business Ties
Customer_1430,Pure Business
Customer_1430,Transactional
Customer_1431,Advanced Business Ties
Customer_1435,Pure Business
Customer_1436,Opportunistic
Customer_1437,Transactional
Customer_1438,Pure Business
Customer_1439,Opportunistic
Customer_144,Pure Business
Customer_1440,Pure Business
Customer_1440,Transactional
Customer_1445,Partnership
Customer_1446,Partnership
Customer_145,Advanced Business Ties
Customer_145,Pure Business
Customer_1450,Opportunistic
Customer_1451,Advanced Business Ties
Customer_1452,Opportunistic
Customer_1454,Advanced Business Ties
Customer_1454,Pure Business
Customer_1455,Transactional
Customer_1456,Pure Business
Customer_1458,Transactional
Customer_1459,Advanced Business Ties
Customer_1459,Pure Business
Customer_1459,Transactional
Customer_1460,Partnership
Customer_1460,Transactional
Customer_1462,Partnership
Customer_1462,Transactional
Customer_1463,Opportunistic
Customer_1464,Opportunistic
Customer_1465,Advanced Business Ties
Customer_1466,Partnership
Customer_1466,Pure Business
Customer_1467,Partnership
Customer_1468,Advanced Business Ties
Customer_1468,Opportunistic
Customer_1468,Pure Business
Customer_1469,Pure Business
Customer_1470,Advanced Business Ties
Customer_1470,Opportunistic
Customer_1470,Transactional
Customer_1471,Partnership
Customer_1473,Pure Business
Customer_1474,Partnership
Customer_1474,Pure Business
Customer_1475,Advanced Business Ties
Customer_1476,Pure Business
Customer_1478,Partnership
Customer_1478,Pure Business
Customer_1479,Pure Business
Customer_1479,Transactional
Customer_148,Opportunistic
Customer_148,Pure Business
Customer_1480,Advanced Business Ties
Customer_1481,Advanced Business Ties
Customer_1481,Pure Business
Customer_1481,Transactional
Customer_1482,Transactional
Customer_1483,Pure Business
Customer_1483,Transactional
Customer_1484,Advanced Business Ties
Customer_1484,Pure Business
Customer_1484,Transactional
Customer_1485,Pure Business
Customer_1486,Partnership
Customer_1488,Advanced Business Ties
Customer_1488,Pure Business
Customer_1489,Pure Business
Customer_149,Transactional
Customer_1490,Advanced Business Ties
Customer_1490,Pure Business
Customer_1492,Pure Business
Customer_1493,Transactional
Customer_1495,Opportunistic
Customer_1496,Pure Business
Customer_1496,Transactional
Customer_1497,Opportunistic
Customer_1498,Advanced Business Ties
Customer_15,Advanced Business Ties
Customer_1501,Advanced Business Ties
Customer_1501,Pure Business
Customer_1504,Transactional
Customer_1506,Advanced Business Ties
Customer_1506,Pure Business
Customer_1507,Advanced Business Ties
Customer_1507,Partnership
Customer_1507,Pure Business
Customer_1507,Transactional
Customer_1509,Pure Business
Customer_151,Transactional
Customer_1510,Partnership
Customer_1511,Advanced Business Ties
Customer_1511,Pure Business
Customer_1511,Transactional
Customer_1514,Transactional
Customer_1515,Opportunistic
Customer_1515,Partnership
Customer_1517,Partnership
Customer_1519,Partnership
Customer_1520,Transactional
Customer_1522,Pure Business
Customer_1524,Partnership
Customer_1525,Opportunistic
Customer_1526,Partnership
Customer_1528,Opportunistic
Customer_1529,Opportunistic
Customer_1529,Transactional
Customer_153,Advanced Business Ties
Customer_1532,Pure Business
Customer_1532,Transactional
Customer_1534,Transactional
Customer_1535,Transactional
Customer_1536,Advanced Business Ties
Customer_1536,Opportunistic
Customer_1536,Pure Business
Customer_1536,Transactional
Customer_1537,Advanced Business Ties
Customer_1537,Opportunistic
Customer_1541,Advanced Business Ties
Customer_1541,Transactional
Customer_1542,Partnership
Customer_1543,Opportunistic
Customer_1544,Opportunistic
Customer_1544,Transactional
Customer_1545,Advanced Business Ties
Customer_1546,Advanced Business Ties
Customer_1546,Opportunistic
Customer_1546,Transactional
Customer_1547,Opportunistic
Customer_1548,Transactional
Customer_155,Partnership
Customer_1550,Partnership
Customer_1550,Transactional
Customer_1551,Partnership
Customer_1552,Advanced Business Ties
Customer_1553,Opportunistic
Customer_1553,Pure Business
Customer_1553,Transactional
Customer_1554,Advanced Business Ties
Customer_1555,Advanced Business Ties
Customer_1556,Opportunistic
Customer_1557,Advanced Business Ties
